map
	ez_tower
end

value
	0.009,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.023,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.026,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.030,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.033,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.037,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.040,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.043,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.046,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.049,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.053,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.057,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.060,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.063,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.066,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.070,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.077,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.080,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.085,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.088,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.092,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.095,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.099,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.102,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.106,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.109,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.113,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.116,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.119,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.123,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.126,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.129,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.133,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
	0.138,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,0,0,
	0.148,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,0,0,
	0.151,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,0,0,
	0.155,75.000,0.900,-75.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0,0,0,0,0,
	0.158,75.000,0.900,-74.974,0.000,0.000,0.000,0.000,0.000,1.300,1,0,0,0,0,0,
	0.162,75.000,0.900,-74.974,0.000,0.000,0.000,0.000,0.000,1.300,1,0,0,0,0,0,
	0.165,75.000,0.900,-74.974,0.000,0.000,0.000,0.000,0.000,1.300,1,0,0,0,0,0,
	0.168,75.000,0.900,-74.974,0.000,0.000,0.000,0.000,0.000,1.300,1,0,0,0,0,0,
	0.171,75.000,0.900,-74.974,0.000,0.000,0.000,0.000,0.000,1.300,1,0,0,0,0,0,
	0.175,75.000,0.900,-74.974,0.000,0.000,0.000,0.000,0.000,1.300,1,0,0,0,0,0,
	0.179,75.000,0.900,-74.940,0.000,0.000,0.000,0.000,0.000,1.700,1,0,0,0,0,0,
	0.184,75.000,0.900,-74.940,0.000,0.000,0.000,0.000,0.000,1.700,1,0,0,0,0,0,
	0.187,75.000,0.900,-74.940,0.000,0.000,0.000,0.000,0.000,1.700,1,0,0,0,0,0,
	0.190,75.000,0.900,-74.940,0.000,0.000,0.000,0.000,0.000,1.700,1,0,0,0,0,0,
	0.193,75.000,0.900,-74.940,0.000,0.000,0.000,0.000,0.000,1.700,1,0,0,0,0,0,
	0.196,75.000,0.900,-74.940,0.000,0.000,0.000,0.000,0.000,1.700,1,0,0,0,0,0,
	0.199,75.000,0.900,-74.898,0.000,0.000,0.000,0.000,0.000,2.100,1,0,0,0,0,0,
	0.203,75.000,0.900,-74.898,0.000,0.000,0.000,0.000,0.000,2.100,1,0,0,0,0,0,
	0.206,75.000,0.900,-74.898,0.000,0.000,0.000,0.000,0.000,2.100,1,0,0,0,0,0,
	0.208,75.000,0.900,-74.898,0.000,0.000,0.000,0.000,0.000,2.100,1,0,0,0,0,0,
	0.211,75.000,0.900,-74.898,0.000,0.000,0.000,0.000,0.000,2.100,1,0,0,0,0,0,
	0.215,75.000,0.900,-74.898,0.000,0.000,0.000,0.000,0.000,2.100,1,0,0,0,0,0,
	0.218,75.000,0.900,-74.848,0.000,0.000,0.000,0.000,0.000,2.500,1,0,0,0,0,0,
	0.221,75.000,0.900,-74.848,0.000,0.000,0.000,0.000,0.000,2.500,1,0,0,0,0,0,
	0.225,75.000,0.900,-74.848,0.000,0.000,0.000,0.000,0.000,2.500,1,0,0,0,0,0,
	0.228,75.000,0.900,-74.848,0.000,0.000,0.000,0.000,0.000,2.500,1,0,0,0,0,0,
	0.231,75.000,0.900,-74.848,0.000,0.000,0.000,0.000,0.000,2.500,1,0,0,0,0,0,
